Location ID,Location,2010-2014 Total (in),2015-2019 Total (in)
AL-001,"Autauga County, AL",256.96,286.64
AL-003,"Baldwin County, AL",297.35,340.21
AL-005,"Barbour County, AL",248.23,272.73
AL-007,"Bibb County, AL",274,273.84
AL-009,"Blount County, AL",292.35,279.69
AL-011,"Bullock County, AL",250.23,273.59
AL-013,"Butler County, AL",270.83,294.38
AL-015,"Calhoun County, AL",266.99,271.41
AL-017,"Chambers County, AL",247.34,284.32
AL-019,"Cherokee County, AL",263.43,281.78
AL-021,"Chilton County, AL",267.15,281.93
AL-023,"Choctaw County, AL",267.15,282.26
AL-025,"Clarke County, AL",266.61,305.46
AL-027,"Clay County, AL",276.44,295.63
AL-029,"Cleburne County, AL",263.78,281.3
AL-031,"Coffee County, AL",267.69,298.75
AL-033,"Colbert County, AL",265.31,294.23
AL-035,"Conecuh County, AL",272.73,303.43
AL-037,"Coosa County, AL",269.09,289.27
AL-039,"Covington County, AL",275.88,299.38
AL-041,"Crenshaw County, AL",261.7,295.78
AL-043,"Cullman County, AL",288.49,292.23
AL-045,"Dale County, AL",257.79,293.52
AL-047,"Dallas County, AL",253.17,271.27
AL-049,"DeKalb County, AL",294.86,297.55
AL-051,"Elmore County, AL",258.45,285.9
AL-053,"Escambia County, AL",281.86,312.05
AL-055,"Etowah County, AL",281.05,281.96
AL-057,"Fayette County, AL",276.12,308.94
AL-059,"Franklin County, AL",279.75,312.15
AL-061,"Geneva County, AL",284.45,306.48
AL-063,"Greene County, AL",273.53,275.52
AL-065,"Hale County, AL",266.66,262.84
AL-067,"Henry County, AL",250.37,277.43
AL-069,"Houston County, AL",261.84,291.34
AL-071,"Jackson County, AL",303.41,301.66
AL-073,"Jefferson County, AL",277.21,273.97
AL-075,"Lamar County, AL",277.81,298.2
AL-077,"Lauderdale County, AL",269.14,292.51
AL-079,"Lawrence County, AL",280.91,297.82
AL-081,"Lee County, AL",249.04,283.12
AL-083,"Limestone County, AL",277.49,302.48
AL-085,"Lowndes County, AL",245.62,279.1
AL-087,"Macon County, AL",245.13,275.59
AL-089,"Madison County, AL",291.5,308.73
AL-091,"Marengo County, AL",262.77,255.63
AL-093,"Marion County, AL",290.76,315.37
AL-095,"Marshall County, AL",303.31,285.53
AL-097,"Mobile County, AL",309.22,344.01
AL-099,"Monroe County, AL",262.46,299.89
AL-101,"Montgomery County, AL",243.21,286.44
AL-103,"Morgan County, AL",280.65,290.67
AL-105,"Perry County, AL",262.94,260.6
AL-107,"Pickens County, AL",280.6,288.37
AL-109,"Pike County, AL",248.81,296
AL-111,"Randolph County, AL",258.78,288.09
AL-113,"Russell County, AL",239.6,259.63
AL-115,"St. Clair County, AL",283.2,275.99
AL-117,"Shelby County, AL",279.65,281.7
AL-119,"Sumter County, AL",268.8,264.77
AL-121,"Talladega County, AL",275.68,286.32
AL-123,"Tallapoosa County, AL",253.07,276.14
AL-125,"Tuscaloosa County, AL",271.3,279.8
AL-127,"Walker County, AL",276.49,281.18
AL-129,"Washington County, AL",288.19,330.4
AL-131,"Wilcox County, AL",252.55,274.56
AL-133,"Winston County, AL",296.88,308.29
AZ-001,"Apache County, AZ",56.17,61.56
AZ-003,"Cochise County, AZ",67.83,75.79
AZ-005,"Coconino County, AZ",61.7,69.61
AZ-007,"Gila County, AZ",88.82,95.18
AZ-009,"Graham County, AZ",69.94,81.06
AZ-011,"Greenlee County, AZ",80.58,84.12
AZ-012,"La Paz County, AZ",29.51,29.33
AZ-013,"Maricopa County, AZ",40.37,43.62
AZ-015,"Mohave County, AZ",48.74,57.21
AZ-017,"Navajo County, AZ",52.32,58.27
AZ-019,"Pima County, AZ",55.49,61.94
AZ-021,"Pinal County, AZ",53.09,60.17
AZ-023,"Santa Cruz County, AZ",85.91,96.97
AZ-025,"Yavapai County, AZ",72.42,80.64
AZ-027,"Yuma County, AZ",25.38,21.71
AR-001,"Arkansas County, AR",235.4,254.39
AR-003,"Ashley County, AR",233.51,311.1
AR-005,"Baxter County, AR",228.59,273.49
AR-007,"Benton County, AR",214.8,268.96
AR-009,"Boone County, AR",222.59,260.43
AR-011,"Bradley County, AR",229.65,308.45
AR-013,"Calhoun County, AR",226.26,316.38
AR-015,"Carroll County, AR",215.66,260.87
AR-017,"Chicot County, AR",241.62,321.13
AR-019,"Clark County, AR",223.64,312.98
AR-021,"Clay County, AR",240.37,285.32
AR-023,"Cleburne County, AR",245.93,303.7
AR-025,"Cleveland County, AR",236.69,314.47
AR-027,"Columbia County, AR",215.24,300.42
AR-029,"Conway County, AR",235.67,299.85
AR-031,"Craighead County, AR",238.11,311.03
AR-033,"Crawford County, AR",232.16,293.07
AR-035,"Crittenden County, AR",265.18,306.11
AR-037,"Cross County, AR",255.04,320.05
AR-039,"Dallas County, AR",233.98,315.76
AR-041,"Desha County, AR",242.32,311.78
AR-043,"Drew County, AR",233.73,314.99
AR-045,"Faulkner County, AR",241.46,307.05
AR-047,"Franklin County, AR",241.26,292.77
AR-049,"Fulton County, AR",230.01,274.58
AR-051,"Garland County, AR",248.06,304.77
AR-053,"Grant County, AR",235.99,320.53
AR-055,"Greene County, AR",235.62,300.64
AR-057,"Hempstead County, AR",218.67,316.44
AR-059,"Hot Spring County, AR",237.95,308.57
AR-061,"Howard County, AR",240.81,323.09
AR-063,"Independence County, AR",241.95,299.07
AR-065,"Izard County, AR",237.28,277.63
AR-067,"Jackson County, AR",239.75,298.94
AR-069,"Jefferson County, AR",233.73,299.13
AR-071,"Johnson County, AR",245.23,298.9
AR-073,"Lafayette County, AR",202.98,298.53
AR-075,"Lawrence County, AR",229.34,294.56
AR-077,"Lee County, AR",243.28,303.4
AR-079,"Lincoln County, AR",237.63,305.2
AR-081,"Little River County, AR",213.99,305.28
AR-083,"Logan County, AR",234.09,282.16
AR-085,"Lonoke County, AR",248.35,296.91
AR-087,"Madison County, AR",225.98,277.16
AR-089,"Marion County, AR",224.95,264.28
AR-091,"Miller County, AR",195.02,292.15
AR-093,"Mississippi County, AR",250.58,293.77
AR-095,"Monroe County, AR",240.02,263.42
AR-097,"Montgomery County, AR",269.88,324.52
AR-099,"Nevada County, AR",220.16,316.3
AR-101,"Newton County, AR",233.58,284.86
AR-103,"Ouachita County, AR",224.06,308.66
AR-105,"Perry County, AR",242.59,292.55
AR-107,"Phillips County, AR",242.47,279.77
AR-109,"Pike County, AR",245.99,333.67
AR-111,"Poinsett County, AR",246.27,315.18
AR-113,"Polk County, AR",270.52,315.83
AR-115,"Pope County, AR",239.48,291.77
AR-117,"Prairie County, AR",241.96,272.02
AR-119,"Pulaski County, AR",249.52,315.19
AR-121,"Randolph County, AR",238.95,289.31
AR-123,"St. Francis County, AR",247.31,307.49
AR-125,"Saline County, AR",251.31,318.32
AR-127,"Scott County, AR",257.38,301.97
AR-129,"Searcy County, AR",229.13,280.7
AR-131,"Sebastian County, AR",224.48,307.64
AR-133,"Sevier County, AR",231.84,316.97
AR-135,"Sharp County, AR",240.23,287.57
AR-137,"Stone County, AR",244.19,291.34
AR-139,"Union County, AR",219,306.81
AR-141,"Van Buren County, AR",243.7,301.98
AR-143,"Washington County, AR",223.15,274.73
AR-145,"White County, AR",242.23,297.8
AR-147,"Woodruff County, AR",242.4,285.8
AR-149,"Yell County, AR",245.26,282.17
CA-001,"Alameda County, CA",83.44,96.77
CA-003,"Alpine County, CA",161.65,213.64
CA-005,"Amador County, CA",169.34,206.3
CA-007,"Butte County, CA",206,227.72
CA-009,"Calaveras County, CA",161.34,198.18
CA-011,"Colusa County, CA",124.8,115.82
CA-013,"Contra Costa County, CA",89.72,99.48
CA-015,"Del Norte County, CA",371.65,393.61
CA-017,"El Dorado County, CA",212.92,259.96
CA-019,"Fresno County, CA",81.25,100.99
CA-021,"Glenn County, CA",127.7,128.6
CA-023,"Humboldt County, CA",282.94,327.23
CA-025,"Imperial County, CA",17.04,13.92
CA-027,"Inyo County, CA",25.96,32.28
CA-029,"Kern County, CA",36.14,44.8
CA-031,"Kings County, CA",34.48,35.73
CA-033,"Lake County, CA",216.41,233.01
CA-035,"Lassen County, CA",90.25,113.78
CA-037,"Los Angeles County, CA",62.46,67.58
CA-039,"Madera County, CA",94.22,114.28
CA-041,"Marin County, CA",169.14,179.78
CA-043,"Mariposa County, CA",131.15,164.92
CA-045,"Mendocino County, CA",243.64,266.49
CA-047,"Merced County, CA",50.57,58.81
CA-049,"Modoc County, CA",80.84,95.65
CA-051,"Mono County, CA",67.4,88.95
CA-053,"Monterey County, CA",93.35,106.83
CA-055,"Napa County, CA",149.55,161.25
CA-057,"Nevada County, CA",237.84,292.73
CA-059,"Orange County, CA",54.5,60.06
CA-061,"Placer County, CA",213.48,268.36
CA-063,"Plumas County, CA",192.61,238.82
CA-065,"Riverside County, CA",36.42,40.05
CA-067,"Sacramento County, CA",89.89,104.93
CA-069,"San Benito County, CA",78.45,84.64
CA-071,"San Bernardino County, CA",31.09,33.61
CA-073,"San Diego County, CA",62.29,65.9
CA-075,"San Francisco County, CA",120.62,123.66
CA-077,"San Joaquin County, CA",65.71,77.05
CA-079,"San Luis Obispo County, CA",72.13,81.65
CA-081,"San Mateo County, CA",126.31,141
CA-083,"Santa Barbara County, CA",76.27,80.93
CA-085,"Santa Clara County, CA",104.45,128.17
CA-087,"Santa Cruz County, CA",146.32,178.66
CA-089,"Shasta County, CA",200.45,226.78
CA-091,"Sierra County, CA",211.22,271.95
CA-093,"Siskiyou County, CA",175.67,190.61
CA-095,"Solano County, CA",95.83,108.3
CA-097,"Sonoma County, CA",195.12,217.62
CA-099,"Stanislaus County, CA",64.31,74.83
CA-101,"Sutter County, CA",91.98,101.51
CA-103,"Tehama County, CA",172.93,187.41
CA-105,"Trinity County, CA",265.1,291.79
CA-107,"Tulare County, CA",92.64,108.21
CA-109,"Tuolumne County, CA",183.38,229.25
CA-111,"Ventura County, CA",78.27,89.12
CA-113,"Yolo County, CA",99.76,113.83
CA-115,"Yuba County, CA",181.83,207.07
CO-001,"Adams County, CO",79.98,80.39
CO-003,"Alamosa County, CO",46.52,56.4
CO-005,"Arapahoe County, CO",82.95,83.6
CO-007,"Archuleta County, CO",100.8,110.11
CO-009,"Baca County, CO",65.36,94.73
CO-011,"Bent County, CO",53.74,79.06
CO-013,"Boulder County, CO",108.48,102.7
