COUNTY,2010-2014 Avg Temp,2015-2019 Avg Temp
"Autauga County, AL",64.1,65.9
"Baldwin County, AL",67,68.7
"Barbour County, AL",64.7,66.6
"Bibb County, AL",62.9,64.3
"Blount County, AL",61.3,63.1
"Bullock County, AL",64.1,66.2
"Butler County, AL",64.3,66.4
"Calhoun County, AL",61.6,63.6
"Chambers County, AL",62,63.6
"Cherokee County, AL",61.1,62.8
"Chilton County, AL",62.8,64.2
"Choctaw County, AL",64.6,66.3
"Clarke County, AL",65.1,66.7
"Clay County, AL",61,62.8
"Cleburne County, AL",60.4,62.7
"Coffee County, AL",65.2,67.1
"Colbert County, AL",60.3,61.8
"Conecuh County, AL",65.1,67
"Coosa County, AL",62.4,64
"Covington County, AL",65.2,67.2
"Crenshaw County, AL",64.1,66.2
"Cullman County, AL",60.6,62.4
"Dale County, AL",65.5,67.5
"Dallas County, AL",64.5,66.2
"DeKalb County, AL",59.5,61.1
"Elmore County, AL",63.7,65.8
"Escambia County, AL",65.9,67.6
"Etowah County, AL",61.5,63.2
"Fayette County, AL",62,63.7
"Franklin County, AL",60,61.6
"Geneva County, AL",66.1,68
"Greene County, AL",63.8,65.2
"Hale County, AL",63.7,65.1
"Henry County, AL",65.6,67.6
"Houston County, AL",66.4,68.4
"Jackson County, AL",59.7,61.2
"Jefferson County, AL",62.4,64
"Lamar County, AL",62.1,63.9
"Lauderdale County, AL",59.8,61.5
"Lawrence County, AL",59.9,61.5
"Lee County, AL",63.3,64.8
"Limestone County, AL",60,62
"Lowndes County, AL",64.7,66.8
"Macon County, AL",64,66
"Madison County, AL",60.3,62
"Marengo County, AL",64.3,65.7
"Marion County, AL",60.6,62.3
"Marshall County, AL",60.8,62.4
"Mobile County, AL",66.7,68.5
"Monroe County, AL",65.2,67.2
"Montgomery County, AL",64.6,66.9
"Morgan County, AL",60.4,62.2
"Perry County, AL",63.6,65.2
"Pickens County, AL",63.2,64.8
"Pike County, AL",64.4,66.3
"Randolph County, AL",61,62.8
"Russell County, AL",64.4,65.8
"St. Clair County, AL",61.8,63.6
"Shelby County, AL",62.4,64
"Sumter County, AL",63.9,65.5
"Talladega County, AL",62.1,63.8
"Tallapoosa County, AL",62.2,63.9
"Tuscaloosa County, AL",63.2,64.7
"Walker County, AL",61.9,63.4
"Washington County, AL",65.4,67
"Wilcox County, AL",64.9,66.5
"Winston County, AL",60.1,61.7
"Apache County, AZ",50.9,51.9
"Cochise County, AZ",62,62.6
"Coconino County, AZ",53.4,54.2
"Gila County, AZ",60.6,61.4
"Graham County, AZ",61.9,62.6
"Greenlee County, AZ",57.2,58.2
"La Paz County, AZ",72.3,72.9
"Maricopa County, AZ",71.4,72.2
"Mohave County, AZ",63,63.8
"Navajo County, AZ",52.6,53.5
"Pima County, AZ",68.4,69.2
"Pinal County, AZ",69.6,70.2
"Santa Cruz County, AZ",61.6,62
"Yavapai County, AZ",60.1,60.9
"Yuma County, AZ",73.2,74
"Arkansas County, AR",62.6,63.7
"Ashley County, AR",63.7,65.2
"Baxter County, AR",57.9,58.5
"Benton County, AR",58.2,58.9
"Boone County, AR",57.4,58
"Bradley County, AR",63.2,64.6
"Calhoun County, AR",62.8,64
"Carroll County, AR",57.5,58.2
"Chicot County, AR",63.9,64.9
"Clark County, AR",62.3,63.3
"Clay County, AR",59.2,60
"Cleburne County, AR",59.6,60.3
"Cleveland County, AR",62.7,63.5
"Columbia County, AR",63.5,64.4
"Conway County, AR",61,61.5
"Craighead County, AR",60.3,61
"Crawford County, AR",60.3,60.7
"Crittenden County, AR",61.9,62.9
"Cross County, AR",61.5,62.1
"Dallas County, AR",62.3,63.1
"Desha County, AR",63,64
